     5.0 +6378213.520    -9300.201       +0.000    -0.026781  +172.409869    +0.000000 +0.4999611654 +0.5000388316 -0.5000388316 -0.4999611654 +0.00000 +0.00000 -0.00000    1000.000  0.50665 -0.0016135 +3.63865     +83.30
     5.1 +6378213.520    -9282.789       +0.000    -0.026781  +175.841969    +0.000000 +0.4999619234 +0.5000380737 -0.5000380737 -0.4999619234 +0.00000 +0.00000 -0.00000    1000.000  0.51674 -0.0016077 +3.63866     +83.28
     5.2 +6378213.520    -9265.033       +0.000    -0.026781  +179.274069    +0.000000 +0.4999626524 +0.5000373448 -0.5000373448 -0.4999626524 +0.00000 +0.00000 -0.00000    1000.000  0.52683 -0.0016020 +3.63866     +83.25
     5.3 +6378213.520    -9246.934       +0.000    -0.026781  +182.706169    +0.000000 +0.4999633540 +0.5000366433 -0.5000366433 -0.4999633540 +0.00000 +0.00000 -0.00000    1000.000  0.53691 -0.0015963 +3.63866     +83.22
     5.4 +6378213.520    -9228.492       +0.000    -0.026781  +186.138269    +0.000000 +0.4999640297 +0.5000359677 -0.5000359677 -0.4999640297 +0.00000 +0.00000 -0.00000    1000.000  0.54700 -0.0015908 +3.63866     +83.20
     5.5 +6378213.520    -9209.706       +0.000    -0.026781  +189.570369    +0.000000 +0.4999646810 +0.5000353165 -0.5000353165 -0.4999646810 +0.00000 +0.00000 -0.00000    1000.000  0.55708 -0.0015852 +3.63867     +83.17
     5.6 +6378213.520    -9190.578       +0.000    -0.026781  +193.002469    +0.000000 +0.4999653091 +0.5000346885 -0.5000346885 -0.4999653091 +0.00000 +0.00000 -0.00000    1000.000  0.56717 -0.0015797 +3.63867     +83.14
     5.7 +6378213.520    -9171.106       +0.000    -0.026781  +196.434569    +0.000000 +0.4999659152 +0.5000340825 -0.5000340825 -0.4999659152 +0.00000 +0.00000 -0.00000    1000.000  0.57726 -0.0015742 +3.63867     +83.11
     5.8 +6378213.520    -9151.291       +0.000    -0.026781  +199.866669    +0.000000 +0.4999665005 +0.5000334972 -0.5000334972 -0.4999665005 +0.00000 +0.00000 -0.00000    1000.000  0.58734 -0.0015688 +3.63868     +83.09
     5.9 +6378213.520    -9131.133       +0.000    -0.026781  +203.298769    +0.000000 +0.4999670661 +0.5000329318 -0.5000329318 -0.4999670661 +0.00000 +0.00000 -0.00000    1000.000  0.59743 -0.0015633 +3.63868     +83.06
     6.0 +6378213.520    -9110.631       +0.000    -0.026781  +206.730869    +0.000000 +0.4999676129 +0.5000323850 -0.5000323850 -0.4999676129 +0.00000 +0.00000 -0.00000    1000.000  0.60751 -0.0015579 +3.63868     +83.03
